Light -8 13  Static
Light -7 12  Static
Light -13 6  Static
Wall -6 17 Left Wall
Wall -10 13 Left Wall
Wall 2 -7 Left Wall
Wall -6 1 Left Wall
Wall -7 2 Left Wall
Wall -5 -1 Left Wall
Wall -6 -2 Left Wall
Wall 5 1 Left Wall
Wall -16 -12 Left Wall
Wall -15 -11 Left Wall
Wall 16 20 Left Wall
Wall -1 -5 Left Wall
Wall 21 17 Left Wall
Wall 22 18 Left Wall
Wall 6 2 Left Wall
Wall -7 -19 Left Wall
Wall 24 12 Left Wall
Wall 14 10 Left Wall
Wall -13 -25 Left Wall
Wall -12 5 Up Wall
Wall -9 6 Up Wall
Door -3 14 Left Door
Light 9 0  Static
Light -12 -19  Static
Door -4 2 Up Door
Door 0 -2 Up Door
Wall 8 1 Up Wall
Wall -1 3 Left Wall
Wall -11 9 Left Wall
Wall 3 -1 Left Wall
Wall 2 -2 Left Wall
Wall -7 5 Left Wall
Wall -3 17 Left Wall
Wall 18 17 Left Wall
Wall 5 6 Left Wall
Wall 2 17 Left Wall
Wall -12 -25 Left Wall
Wall 11 8 Left Wall
Wall 14 13 Left Wall
Wall -15 -14 Left Wall
Wall 16 19 Left Wall
Wall 24 11 Left Wall
Wall -1 -4 Left Wall
Wall -16 -13 Left Wall
Wall -13 5 Up Wall
Wall -3 11 Up Wall
Wall 1 -9 Up Wall
Wall -16 6 Up Wall
Wall -2 8 Up Wall
Light 0 14  Static
Wall 8 0 Up Wall
Wall 9 1 Up Wall
Wall 16 8 Up Wall
Wall 19 11 Up Wall
Wall -14 -22 Up Wall
Wall -1 2 Left Wall
Wall -3 16 Left Wall
Wall -10 11 Left Wall
Wall -11 8 Left Wall
Wall -8 5 Left Wall
Wall 6 4 Left Wall
Wall 3 1 Left Wall
Wall 2 16 Left Wall
Wall -1 -19 Left Wall
Wall -2 -20 Left Wall
Wall -5 -23 Left Wall
Wall 18 16 Left Wall
Wall -1 -3 Left Wall
Wall 5 7 Left Wall
Wall -15 -13 Left Wall
Wall 11 9 Left Wall
Wall 22 20 Left Wall
Wall 14 12 Left Wall
Wall -16 -14 Left Wall
Wall 13 15 Left Wall
Wall -8 15 Up Wall
Wall -1 8 Up Wall
Wall -14 5 Up Wall
Wall 0 -9 Up Wall
Wall -15 6 Up Wall
Light -10 5  Static
Wall 0 11 Up Wall
Wall 18 9 Up Wall
Wall 7 12 Up Wall
Wall -2 -11 Up Wall
Wall -15 -22 Up Wall
Wall -7 7 Left Wall
Wall -6 4 Left Wall
Wall 2 -4 Left Wall
Wall 1 -17 Left Wall
Wall -2 -1 Left Wall
Wall -1 -2 Left Wall
Wall 5 4 Left Wall
Wall 11 10 Left Wall
Wall -2 -17 Left Wall
Wall -5 -22 Left Wall
Wall -16 -15 Left Wall
Wall -5 15 Up Wall
Wall -4 8 Up Wall
Wall -1 11 Up Wall
Wall 9 -3 Up Wall
Door 17 18 Up Door
Light 0 12  Static
Light 23 11  Static
Light -10 -22  Static
Door 19 11 Left Door
Wall 1 11 Up Wall
Wall 6 12 Up Wall
Wall -16 -22 Up Wall
Wall -7 6 Left Wall
Wall -2 1 Left Wall
Wall -11 10 Left Wall
Wall 1 -18 Left Wall
Wall 2 -3 Left Wall
Wall 2 2 Left Wall
Wall 5 5 Left Wall
Wall 14 14 Left Wall
Wall 21 21 Left Wall
Wall -2 -18 Left Wall
Wall -5 -21 Left Wall
Wall -7 -23 Left Wall
Wall -16 -16 Left Wall
Wall -3 8 Up Wall
Wall 0 -11 Up Wall
Wall -6 15 Up Wall
Wall -2 11 Up Wall
Wall -13 6 Up Wall
Door -5 -23 Up Door
Wall 5 0 Up Wall
Wall 7 2 Up Wall
Wall 4 1 Up Wall
Wall -7 -20 Up Wall
Wall -6 -17 Up Wall
Wall -3 -24 Up Wall
Wall 9 12 Up Wall
Wall -12 -15 Up Wall
Wall 19 22 Up Wall
Wall -9 -14 Up Wall
Wall -4 -23 Up Wall
Wall -10 6 Left Wall
Wall 1 -15 Left Wall
Wall -3 13 Left Wall
Wall 2 13 Left Wall
Wall 6 9 Left Wall
Wall -2 -15 Left Wall
Wall 17 14 Left Wall
Wall 19 12 Left Wall
Wall 18 13 Left Wall
Wall -16 -17 Left Wall
Wall -13 9 Up Wall
Wall -1 5 Up Wall
Door -11 6 Up Door
Wall 6 2 Up Wall
Wall -5 -1 Up Wall
Wall -3 -23 Up Wall
Wall 4 0 Up Wall
Wall 20 16 Up Wall
Wall 8 12 Up Wall
Wall -11 -15 Up Wall
Wall -10 -14 Up Wall
Wall -5 -17 Up Wall
Wall -4 -24 Up Wall
Wall -13 -25 Up Wall
Wall 18 22 Up Wall
Wall -3 12 Left Wall
Wall -10 7 Left Wall
Wall 1 -16 Left Wall
Wall 2 12 Left Wall
Wall 11 5 Left Wall
Wall 19 13 Left Wall
Wall 18 12 Left Wall
Wall -2 -16 Left Wall
Wall -7 -25 Left Wall
Wall -16 -18 Left Wall
Wall -2 5 Up Wall
Wall -14 9 Up Wall
Wall -7 18 Up Wall
Door -6 3 Left Door
Light -12 -25  Static
Light -16 -13  Static
Light -1 16  Static
Door 14 11 Left Door
Wall 15 8 Up Wall
Wall 7 0 Up Wall
Wall 12 11 Up Wall
Wall -7 -2 Up Wall
Wall 11 12 Up Wall
Wall -11 -14 Up Wall
Wall 23 16 Up Wall
Wall -10 -15 Up Wall
Wall 20 19 Up Wall
Wall 17 22 Up Wall
Wall -3 15 Left Wall
Wall 1 -13 Left Wall
Wall -11 7 Left Wall
Wall 11 6 Left Wall
Wall 5 8 Left Wall
Wall -2 -13 Left Wall
Wall 2 15 Left Wall
Wall 6 11 Left Wall
Wall 17 12 Left Wall
Wall 18 15 Left Wall
Wall 19 14 Left Wall
Wall -16 -19 Left Wall
Wall 13 16 Left Wall
Wall -12 -23 Left Wall
Wall -9 -22 Left Wall
Wall -15 9 Up Wall
Wall -6 2 Up Wall
Wall -3 5 Up Wall
Wall -9 15 Up Wall
Light -10 8  Static
Door -7 8 Up Door
Wall 6 0 Up Wall
Wall 10 12 Up Wall
Wall 13 11 Up Wall
Wall -16 -10 Up Wall
Wall 14 8 Up Wall
Wall -9 -15 Up Wall
Wall 20 18 Up Wall
Wall 16 22 Up Wall
Wall -7 -17 Up Wall
Wall -6 -20 Up Wall
Wall 22 16 Up Wall
Wall -12 -14 Up Wall
Wall -11 6 Left Wall
Wall 1 -14 Left Wall
Wall 11 7 Left Wall
Wall 6 10 Left Wall
Wall 2 14 Left Wall
Wall -2 -14 Left Wall
Wall 14 18 Left Wall
Wall 17 13 Left Wall
Wall -16 -20 Left Wall
Wall 19 15 Left Wall
Wall 13 17 Left Wall
Wall -9 -21 Left Wall
Wall -10 15 Up Wall
Wall -5 2 Up Wall
Wall -16 9 Up Wall
Light -1 -18  Static
Light -2 7  Static
Light -15 8  Static
Door -7 15 Up Door
Door 3 0 Left Door
Door -2 -19 Left Door
Wall 19 18 Up Wall
Wall -1 -2 Up Wall
Wall -2 -1 Up Wall
Wall 13 12 Up Wall
Wall 18 19 Up Wall
Wall -13 -14 Up Wall
Wall -1 -18 Up Wall
Wall -3 -20 Up Wall
Wall -10 -25 Up Wall
Wall -7 -24 Up Wall
Wall 9 -3 Left Wall
Wall 10 -2 Left Wall
Wall -3 9 Left Wall
Wall 17 10 Left Wall
Wall 18 9 Left Wall
Wall -13 -24 Left Wall
Wall -16 -21 Left Wall
Wall -9 -20 Left Wall
Wall -5 5 Up Wall
Wall -11 11 Up Wall
Wall -10 8 Up Wall
Wall 0 -18 Up Wall
Door 9 0 Up Door
Door -1 -10 Up Door
Door -13 -22 Up Door
Wall 11 11 Up Wall
Wall 2 2 Up Wall
Wall -4 -20 Up Wall
Wall -7 -23 Up Wall
Wall -9 -25 Up Wall
Wall 12 12 Up Wall
Wall -14 -14 Up Wall
Wall 18 18 Up Wall
Wall -15 -15 Up Wall
Wall 19 19 Up Wall
Wall 21 21 Up Wall
Wall -3 8 Left Wall
Wall 10 -1 Left Wall
Wall 1 -12 Left Wall
Wall -6 15 Left Wall
Wall 0 -11 Left Wall
Wall 2 -9 Left Wall
Wall 10 0 Left Wall
Wall -1 -11 Left Wall
Wall 17 11 Left Wall
Wall 19 9 Left Wall
Wall -2 -12 Left Wall
Wall -13 -23 Left Wall
Wall -16 -22 Left Wall
Wall -9 -19 Left Wall
Wall -9 8 Up Wall
Wall 1 -2 Up Wall
Wall -3 2 Up Wall
Wall -6 5 Up Wall
Wall -3 18 Up Wall
Door -1 -9 Up Door
Light 21 18  Static
Door -14 6 Up Door
Door 21 20 Left Door
Door -7 -24 Left Door
Wall -4 -1 Up Wall
Wall 0 3 Up Wall
Wall 1 18 Up Wall
Wall -2 -19 Up Wall
Wall -6 -23 Up Wall
Wall -12 -25 Up Wall
Wall -4 -17 Up Wall
Wall -5 -24 Up Wall
Wall 3 0 Up Wall
Wall -14 -15 Up Wall
Wall -15 -14 Up Wall
Wall 19 16 Up Wall
Wall 6 5 Up Wall
Wall 16 19 Up Wall
Wall -3 11 Left Wall
Wall -16 6 Left Wall
Wall -7 15 Left Wall
Wall 9 -1 Left Wall
Wall 0 -10 Left Wall
Wall 8 1 Left Wall
Wall 2 11 Left Wall
Wall -1 -10 Left Wall
Wall 17 8 Left Wall
Wall 19 10 Left Wall
Wall 18 11 Left Wall
Wall -9 -18 Left Wall
Wall -8 -15 Left Wall
Wall -7 5 Up Wall
Wall -1 3 Up Wall
Wall -2 2 Up Wall
Wall -2 18 Up Wall
Door -2 0 Left Door
Light 15 11  Static
Door -15 -15 Left Door
Wall -3 -1 Up Wall
Wall 1 3 Up Wall
Wall -13 -15 Up Wall
Wall 0 18 Up Wall
Wall -8 -22 Up Wall
Wall -3 -17 Up Wall
Wall -6 -24 Up Wall
Wall -11 -25 Up Wall
Wall 3 1 Up Wall
Wall 20 22 Up Wall
Wall 7 5 Up Wall
Wall 13 15 Up Wall
Wall 16 18 Up Wall
Wall 17 19 Up Wall
Wall -14 5 Left Wall
Wall -3 10 Left Wall
Wall -16 7 Left Wall
Wall 10 -3 Left Wall
Wall 9 -2 Left Wall
Wall -1 -9 Left Wall
Wall 17 9 Left Wall
Wall 18 10 Left Wall
Wall -9 -17 Left Wall
Wall 2 -1 Up Wall
Wall -12 9 Up Wall
Wall -7 4 Up Wall
Wall -1 18 Up Wall
Door -1 -11 Up Door
