Light 1 -12  Static
Light 11 -2  Static
Wall 15 -22 Up Wall
Wall 20 -15 Up Wall
Wall 21 -16 Up Wall
Wall -23 12 Up Wall
Wall -21 14 Up Wall
Wall -11 16 Up Wall
Light -17 18  Static
Door -14 16 Up Door
Wall -8 -3 Up Wall
Wall -8 8 Left Wall
Wall -20 12 Left Wall
Wall -9 7 Left Wall
Wall 20 -12 Left Wall
Wall 14 -18 Left Wall
Wall 17 -15 Left Wall
Wall 6 -10 Left Wall
Wall 13 -3 Left Wall
Wall 10 -6 Left Wall
Wall 11 -15 Up Wall
Wall 8 -14 Up Wall
Wall 17 -5 Up Wall
Wall 19 -7 Up Wall
Wall -16 10 Up Wall
Wall -13 9 Up Wall
Wall 16 -22 Up Wall
Wall 9 -13 Up Wall
Door -9 4 Up Door
Door -19 14 Up Door
Door 18 -15 Up Door
Wall -7 -3 Up Wall
Wall 10 -5 Left Wall
Wall -9 6 Left Wall
Wall 17 -16 Left Wall
Wall -8 9 Left Wall
Wall 11 -6 Left Wall
Wall 13 -4 Left Wall
Wall -20 13 Left Wall
Wall 14 -17 Left Wall
Wall 20 -11 Left Wall
Wall 16 -5 Up Wall
Wall -25 12 Up Wall
Wall -20 7 Up Wall
Wall 19 -8 Up Wall
Wall -15 10 Up Wall
Wall 9 -14 Up Wall
Wall 8 -13 Up Wall
Wall 12 -9 Up Wall
Wall 17 -22 Up Wall
Wall -14 9 Up Wall
Door -16 9 Left Door
Door 11 -14 Left Door
Door 18 -5 Left Door
Light 18 -3  Static
Door 11 -5 Up Door
Wall -6 -3 Up Wall
Wall 17 -13 Left Wall
Wall -9 5 Left Wall
Wall -8 10 Left Wall
Wall 10 -8 Left Wall
Wall 13 -1 Left Wall
Wall 6 -12 Left Wall
Wall 11 -7 Left Wall
Wall -17 13 Left Wall
Wall 18 -16 Left Wall
Wall 14 -20 Left Wall
Wall 20 -10 Left Wall
Wall -1 -14 Left Wall
Wall -14 10 Up Wall
Wall -17 7 Up Wall
Wall -4 4 Up Wall
Wall -15 9 Up Wall
Wall 19 -21 Up Wall
Wall 18 -22 Up Wall
Wall 12 -12 Up Wall
Wall -9 15 Up Wall
Wall 10 -14 Up Wall
Wall -23 17 Up Wall
Wall -5 -3 Up Wall
Wall 11 -8 Left Wall
Wall 17 -14 Left Wall
Wall -8 11 Left Wall
Wall -17 12 Left Wall
Wall 14 -19 Left Wall
Wall 20 -9 Left Wall
Wall -4 15 Left Wall
Wall 10 -7 Left Wall
Wall 6 -11 Left Wall
Wall -1 -13 Left Wall
Wall -3 4 Up Wall
Wall -16 9 Up Wall
Wall -13 10 Up Wall
Wall 18 -21 Up Wall
Wall 10 -13 Up Wall
Wall -24 17 Up Wall
Wall -18 7 Up Wall
Wall -21 2 Up Wall
Wall 17 -8 Up Wall
Wall -9 14 Up Wall
Wall 19 -22 Up Wall
Door 17 -22 Left Door
Door 19 -8 Left Door
Light -8 1  Static
Wall -2 -1 Up Wall
Wall -4 -3 Up Wall
Wall -17 11 Left Wall
Wall -20 8 Left Wall
Wall -9 19 Left Wall
Wall 17 -11 Left Wall
Wall -9 3 Left Wall
Wall 3 -9 Left Wall
Wall 14 -22 Left Wall
Wall -8 12 Left Wall
Wall -1 -12 Left Wall
Wall -6 4 Up Wall
Wall -6 20 Up Wall
Wall -12 10 Up Wall
Wall 21 -21 Up Wall
Wall 19 -19 Up Wall
Wall 15 -15 Up Wall
Wall -16 14 Up Wall
Wall -20 2 Up Wall
Wall 10 -12 Up Wall
Wall 17 -1 Up Wall
Wall 20 -22 Up Wall
Light 10 -14  Static
Wall 2 2 Up Wall
Wall -3 -3 Up Wall
Wall -2 -2 Up Wall
Wall -22 15 Left Wall
Wall -20 9 Left Wall
Wall -10 19 Left Wall
Wall 14 -21 Left Wall
Wall -9 18 Left Wall
Wall 17 -12 Left Wall
Wall 20 -15 Left Wall
Wall -9 2 Left Wall
Wall -8 13 Left Wall
Wall 8 -3 Left Wall
Wall 6 -13 Left Wall
Wall -9 -3 Left Wall
Wall -1 -11 Left Wall
Wall 18 -19 Up Wall
Wall -5 4 Up Wall
Wall -17 16 Up Wall
Wall 20 -21 Up Wall
Wall -15 14 Up Wall
Wall 21 -22 Up Wall
Wall -19 2 Up Wall
Wall -5 20 Up Wall
Wall 16 -1 Up Wall
Wall -16 15 Up Wall
Wall 14 -15 Up Wall
Light -8 3  Static
Light -20 7  Static
Wall 0 3 Up Wall
Wall -20 10 Left Wall
Wall -9 1 Left Wall
Wall 8 -2 Left Wall
Wall -17 9 Left Wall
Wall 20 -14 Left Wall
Wall 22 -16 Left Wall
Wall -22 12 Left Wall
Wall 17 -9 Left Wall
Wall -9 -2 Left Wall
Wall -2 -9 Left Wall
Wall -1 -10 Left Wall
Wall 11 -9 Up Wall
Wall -2 2 Up Wall
Wall -1 3 Up Wall
Wall 17 -19 Up Wall
Wall 2 -2 Up Wall
Wall -8 4 Up Wall
Wall -17 19 Up Wall
Wall -14 14 Up Wall
Wall -13 15 Up Wall
Wall -21 7 Up Wall
Wall 21 -7 Up Wall
Wall -8 20 Up Wall
Wall 18 -2 Up Wall
Wall -18 2 Up Wall
Wall -10 10 Up Wall
Wall 20 -8 Up Wall
Door -2 0 Left Door
Light 0 -6  Static
Door 2 -9 Up Door
Wall 1 3 Up Wall
Wall -9 16 Left Wall
Wall -9 0 Left Wall
Wall -25 16 Left Wall
Wall 13 -6 Left Wall
Wall -20 11 Left Wall
Wall 17 -10 Left Wall
Wall -17 8 Left Wall
Wall -22 13 Left Wall
Wall 8 -1 Left Wall
Wall 20 -13 Left Wall
Wall -9 -1 Left Wall
Wall -13 14 Up Wall
Wall 2 -1 Up Wall
Wall 17 -20 Up Wall
Wall -12 9 Up Wall
Wall -14 15 Up Wall
Wall -7 4 Up Wall
Wall -17 2 Up Wall
Wall -7 20 Up Wall
Wall 21 -8 Up Wall
Wall 20 -7 Up Wall
